datetime, tempC, presPa, humRH
2022/08/26 14:05:02, 15.640000, 101710.503906, 60.240234
2022/08/26 14:10:01, 15.890000, 101700.445312, 59.262695
2022/08/26 14:15:01, 16.020000, 101690.968750, 58.990234
2022/08/26 14:20:01, 16.030000, 101688.046875, 57.812500
2022/08/26 14:25:01, 15.930000, 101687.152344, 57.253906
2022/08/26 14:30:01, 15.820000, 101688.367188, 57.928711
2022/08/26 14:35:01, 15.710000, 101685.363281, 59.838867
2022/08/26 14:40:01, 15.660000, 101685.621094, 59.533203
2022/08/26 14:45:02, 15.650000, 101684.929688, 58.974609
2022/08/26 14:50:01, 15.680000, 101686.046875, 58.579102
2022/08/26 14:55:01, 15.700000, 101685.917969, 58.214844
2022/08/26 15:00:02, 15.710000, 101686.046875, 58.927734
2022/08/26 15:05:01, 15.660000, 101681.535156, 58.309570
2022/08/26 15:10:01, 15.620000, 101680.031250, 59.281250
2022/08/26 15:15:01, 15.560000, 101679.773438, 60.217773
2022/08/26 15:20:01, 15.500000, 101686.472656, 60.110352
2022/08/26 15:25:02, 15.430000, 101686.210938, 60.355469
2022/08/26 15:30:01, 15.360000, 101687.500000, 61.301758
2022/08/26 15:35:01, 15.290000, 101684.699219, 61.270508
2022/08/26 15:40:02, 15.230000, 101682.496094, 62.027344
2022/08/26 15:45:01, 15.140000, 101681.835938, 61.524414
2022/08/26 15:50:01, 15.060000, 101682.847656, 62.502930
2022/08/26 15:55:01, 14.990000, 101679.519531, 63.279297
2022/08/26 16:00:01, 14.900000, 101675.503906, 63.731445
2022/08/26 16:05:01, 14.800000, 101675.386719, 63.030273
2022/08/26 16:10:01, 14.730000, 101672.917969, 63.896484
2022/08/26 16:15:01, 14.670000, 101672.246094, 64.295898
2022/08/26 16:20:02, 14.610000, 101670.593750, 64.917969
2022/08/26 16:25:01, 14.550000, 101668.851562, 65.287109
2022/08/26 16:30:01, 14.500000, 101670.289062, 65.301758
2022/08/26 16:35:01, 14.440000, 101671.285156, 65.645508
2022/08/26 16:40:01, 14.350000, 101669.195312, 66.728516
2022/08/26 16:45:01, 14.280000, 101666.671875, 66.849609
2022/08/26 16:50:01, 14.200000, 101671.468750, 66.792969
2022/08/26 16:55:01, 14.100000, 101672.527344, 68.213867
2022/08/26 17:00:02, 14.000000, 101674.906250, 69.249023
2022/08/26 17:05:01, 13.870000, 101677.429688, 69.978516
2022/08/26 17:10:01, 13.730000, 101678.820312, 70.782227
2022/08/26 17:15:02, 13.590000, 101683.843750, 71.774414
2022/08/26 17:20:01, 13.460000, 101691.351562, 72.943359
2022/08/26 17:25:01, 13.340000, 101696.375000, 72.747070
2022/08/26 17:30:01, 13.230000, 101702.054688, 72.784180
2022/08/26 17:35:01, 13.130000, 101707.421875, 73.480469
2022/08/26 17:40:02, 13.020000, 101712.441406, 73.915039
2022/08/26 17:45:01, 12.920000, 101719.121094, 74.447266
2022/08/26 17:50:01, 12.820000, 101724.097656, 74.696289
2022/08/26 17:55:02, 12.730000, 101727.527344, 75.546875
2022/08/26 18:00:01, 12.630000, 101734.078125, 76.178711
2022/08/26 18:05:01, 12.550000, 101737.601562, 76.724609
2022/08/26 18:10:02, 12.480000, 101743.015625, 76.316406
2022/08/26 18:15:01, 12.400000, 101747.230469, 76.446289
2022/08/26 18:20:02, 12.320000, 101753.867188, 76.387695
2022/08/26 18:25:01, 12.260000, 101760.437500, 77.320312
2022/08/26 18:30:01, 12.190000, 101764.441406, 77.604492
2022/08/26 18:35:02, 12.130000, 101769.570312, 77.540039
2022/08/26 18:40:01, 12.080000, 101776.953125, 78.297852
2022/08/26 18:45:01, 12.020000, 101782.625000, 78.352539
2022/08/26 18:50:02, 11.970000, 101785.187500, 78.802734
2022/08/26 18:55:01, 11.910000, 101791.679688, 78.783203
2022/08/26 19:00:01, 11.860000, 101795.820312, 79.607422
2022/08/26 19:05:01, 11.820000, 101799.671875, 79.741211
2022/08/26 19:10:01, 11.780000, 101804.632812, 79.590820
2022/08/26 19:15:02, 11.740000, 101803.324219, 79.726562
2022/08/26 19:20:01, 11.700000, 101803.644531, 79.993164
2022/08/26 19:25:01, 11.660000, 101808.703125, 80.468750
2022/08/26 19:30:02, 11.630000, 101812.996094, 80.351562
2022/08/26 19:35:01, 11.600000, 101814.386719, 80.511719
2022/08/26 19:40:01, 11.560000, 101815.386719, 80.547852
2022/08/26 19:45:01, 11.540000, 101814.230469, 80.564453
2022/08/26 19:50:01, 11.500000, 101814.546875, 80.855469
2022/08/26 19:55:01, 11.460000, 101813.062500, 81.349609
2022/08/26 20:00:01, 11.430000, 101816.234375, 81.091797
2022/08/26 20:05:01, 11.390000, 101820.257812, 81.314453
2022/08/26 20:10:02, 11.360000, 101822.761719, 81.352539
2022/08/26 20:15:01, 11.340000, 101827.628906, 81.589844
2022/08/26 20:20:01, 11.300000, 101831.945312, 81.812500
2022/08/26 20:25:02, 11.270000, 101837.812500, 81.707031
